Cancela/2024-04-21/08:51:38pm/Aberto,
Cancela/2024-04-21/08:51:38pm/Fechado,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:44am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:45am Estado:0.00,
cancela | Data: 2024-06-14 12:00:46am Estado:0.00,
cancela | Data: 2024-06-14 12:00:46am Estado:0.00,
cancela | Data: 2024-06-14 12:00:46am Estado:0.00,
cancela | Data: 2024-06-14 12:00:46am Estado:0.00,
cancela | Data: 2024-06-14 12:00:46am Estado:0.00,
cancela | Data: 2024-06-14 12:00:46am Estado:0.00,
cancela | Data: 2024-06-14 12:00:46am Estado:0.00,
cancela | Data: 2024-06-14 12:00:46am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
cancela | Data: 2024-06-14 12:00:47am Estado:0.00,
